PG.ProteinGroups,PG.Genes,[1] Day0_1.raw.PG.Quantity,[2] Day0_2.raw.PG.Quantity,[3] Day0_3.raw.PG.Quantity,[4] Day0_4.raw.PG.Quantity,[5] Day0_5.raw.PG.Quantity,[6] Day0_6.raw.PG.Quantity,[7] Day28_1.raw.PG.Quantity,[8] Day28_2.raw.PG.Quantity,[9] Day28_3.raw.PG.Quantity,[10] Day28_4.raw.PG.Quantity,[11] Day28_5.raw.PG.Quantity,[12] Day28_6.raw.PG.Quantity,[13] Day03_1.raw.PG.Quantity,[14] Day03_2.raw.PG.Quantity,[15] Day03_3.raw.PG.Quantity,[16] Day03_4.raw.PG.Quantity,[17] Day03_5.raw.PG.Quantity,[18] Day03_6.raw.PG.Quantity,[19] Day07_1.raw.PG.Quantity,[20] Day07_2.raw.PG.Quantity,[21] Day07_3.raw.PG.Quantity,[22] Day07_4.raw.PG.Quantity,[23] Day07_5.raw.PG.Quantity,[24] Day07_6.raw.PG.Quantity,[25] Day10_1.raw.PG.Quantity,[26] Day10_2.raw.PG.Quantity,[27] Day10_3.raw.PG.Quantity,[28] Day10_4.raw.PG.Quantity,[29] Day10_5.raw.PG.Quantity,[30] Day10_6.raw.PG.Quantity,[31] Day14_1.raw.PG.Quantity,[32] Day14_2.raw.PG.Quantity,[33] Day14_3.raw.PG.Quantity,[34] Day14_4.raw.PG.Quantity,[35] Day14_5.raw.PG.Quantity,[36] Day14_6.raw.PG.Quantity,[37] Day21_1.raw.PG.Quantity,[38] Day21_2.raw.PG.Quantity,[39] Day21_3.raw.PG.Quantity,[40] Day21_4.raw.PG.Quantity,[41] Day21_5.raw.PG.Quantity,[42] Day21_6.raw.PG.Quantity
A0A075B6Q3;Q5H9F3,BCORL1,892.9525757,966.3010254,1873.486938,1320.18811,1251.296509,611.1693726,1788.01355,2300.508545,2876.166748,3953.888916,1736.459229,1534.473022,4162.449707,4963.822266,4853.946289,3508.810791,4302.580078,5128.285645,5098.439941,3938.54126,3600.393799,3807.880859,3434.211914,5035.942383,2690.846924,1816.690308,2933.221436,3171.974365,1713.14563,2088.822998,2426.127441,1356.039429,2013.253906,1259.124878,2230.626709,2583.703857,1838.480347,2561.265137,3117.401855,2260.651123,2781.483154,1712.195435
A0A075B6T1;Q9C0C7,AMBRA1,8490.481445,2379.802002,3457.478027,4632.265625,5373.035645,6596.943359,3272.683594,2769.891602,1938.38501,1660.289917,1444.194092,2197.154297,6016.862305,4587.446289,6366.897461,3758.990234,5872.331055,7146.039063,1892.862305,2544.500732,3539.416016,1959.347412,2018.156494,1372.337769,NaN,2771.207031,1399.286133,2223.935303,2199.845459,2352.856689,2548.616211,1162.692993,1600.157104,2095.509033,2296.105225,1471.392456,1882.653931,2137.070068,2524.61084,NaN,1356.581177,NaN
A0A075B6T9;A0A088AWK7;E7EV44;F5H848,ZNF268;;ZNF268;ZNF268,29380.37695,7046.283691,5501.824219,10367.17383,7813.396973,7323.110352,8344.739258,NaN,5612.645996,NaN,NaN,NaN,18789.97461,16813.57227,13374.63867,15927.04297,19352.25977,11651.26172,11815.27832,11129.33594,10748.1875,13249.19336,11749.75293,13587.94824,7803.436523,8399.317383,7665.222656,8851.365234,11101.93848,8243.078125,6497.539551,6623.061523,6142.471191,6949.503418,7549.50293,8304.498047,5355.22168,NaN,6478.364746,NaN,4843.670898,6171.807617
A0A075B730,EPPK1,110027.5313,98049.35938,94370.01563,110646.1797,91426.10938,96266.39844,7362.09668,8137.620117,7423.086914,7739.316895,8179.013184,8764.764648,15576.47266,12981.63379,14742.95801,12581.54395,16698.17969,15886.95508,7123.283203,9605.256836,9333.25293,9814.111328,9087.431641,8345.035156,8696.928711,8305.527344,8497.365234,8515.422852,8037.531738,7808.260254,4997.867676,6542.561523,6659.192871,7234.373047,6284.991699,7199.712891,7135.718262,6017.618164,7583.178223,6796.645996,6826.270996,7198.464844
A0A075B749;A0A087WX83;E9PQG4;Q5VU43,PDE4DIP,9376.525391,6380.200195,6064.780762,8151.220703,5685.01123,6682.678223,21205.83203,23277.99805,16375.56152,17101.53125,21285.25391,22130.08789,2291.198486,2990.605713,1901.504517,2083.650146,3382.588867,2556.013916,11092.97461,11451.55273,10531.46191,12299.66602,11680.29004,9863.598633,19684.26367,19870.43359,18966.82617,19661.28711,21076.32617,20615.41406,24213.87891,23383.26953,22970.60156,22369.92969,20712.55078,21065.83984,22466.61133,23732.82227,24094.92578,24097.45313,26312.27539,25913.11328
A0A075B780;O14787,TNPO2,33608.22266,32814.72266,30683.50586,40132.61719,26749.38086,36234.30078,60405.87891,71754.52344,64537.63672,67899.47656,65052.87891,60138.96094,37836.57813,32615.17383,40733.46484,33601.91797,31591.14453,42962.13281,35118.57813,39571.96094,44216.19922,35581.80078,37855.56641,37328.07422,44161.875,37547.70313,29845.4375,41161.65625,31279.7207,36622.39453,38193.30469,36990.46875,32583.02539,34271.77734,44936.58203,34247.72656,49540.27734,39608.79297,46785.23828,43424.95703,55193.86328,47230.39063
A0A075B7A1;M0QXX5;M0QZP3;M0R0E9;M0R344;Q9NRA0,SPHK2,7392.370605,5286.446289,5258.713867,7937.926758,4233.818359,5944.459473,16922.23633,13225.03418,12463.8291,16324.27734,15432.41992,13839.64746,8164.89502,10151.53906,9859.942383,9623.234375,10149.30078,7254.947266,13581.34082,14124.3418,12213.41699,14799.31445,13757.08887,14678.48242,17377.91602,17762.37109,14280.81738,16306.45703,5837.654785,14124.02246,16473.15234,14463.03906,16317.78223,16063.63379,16421.44922,14738.75781,15252.07129,18170.89844,14574.57031,16804.24609,20067.16602,16101.22266
A0A075B7C0;A0A0C4DGQ5;K7ELJ7;P04632;U3KQE2,CAPNS1,36265.78906,12288.04199,19700.87695,11774.92383,11976.02441,7096.64502,15577.25586,11416.55176,6801.603516,13999.20313,18082.05859,14711.16113,6328.413086,3504.050293,9706.051758,8479.591797,10379.52148,8005.797852,8274.490234,5661.482422,11527.05859,7700.934082,6513.465332,4992.841309,13675.8623,11436.36914,11015.31348,9456.384766,13946.25098,11220.33301,19239.32813,18828.74609,13851.15137,12163.11914,13964.97461,8415.858398,15278.55078,9479.779297,19337.97852,12959.7959,14246.83496,12324.32617
A0A075B7D9;Q92804,TAF15,194369.625,251565.4375,244148.0313,185169.5625,246448.875,288282.5313,158224.2344,187793.0938,298648.25,211071.7813,267136.125,211276.6406,307484.9688,369856.25,245113.5781,328725.8125,244893.0156,229988.4219,259479.5313,182597.3281,157979.1563,159870.1875,177515,228289.7344,130914.7266,196205.1094,230626.4063,175846.3594,194998.5938,211415.125,123016.8438,217549.5313,233320.4531,228399.8438,251849.0781,128004.9766,190195.25,185058.1406,164058.1406,173967.9688,163550.9375,171394.5313
A0A075B7G4;Q8IYB9,ZNF595,3176.69043,1415.757935,2238.253662,1968.020874,1339.415649,1705.082275,NaN,NaN,NaN,NaN,NaN,NaN,1066.763184,563.0897217,929.4116211,NaN,NaN,1209.509277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,477.9384155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A075B7G6;A0A0A0MTN5;Q8IYN0;Q8TF32,ZNF100;ZNF100;ZNF100;ZNF431,NaN,1564.550171,883.1010742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,427.8648987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
